iter	Logloss
0	0.6915923345
1	0.690243215
2	0.6888328061
3	0.687421985
4	0.6860249729
5	0.684708511966	0.683524584677	0.682469151
8	0.6814814426
9	0.6804454495
10	0.6793004467
11	0.6784060038
12	0.6772233097113	0.6763311018114	0.6752551534115	0.6741078917116	0.6731966623117	0.6722021531118	0.6712972459119	0.6705162435220	0.6694790237221	0.6687323115222	0.6678180632223	0.667029878
24	0.6661908579
25	0.665436402
26	0.6647390623
27	0.6639864689
28	0.6633566539
29	0.662576047
30	0.6618765266
31	0.6612155696
32	0.6605553714
33	0.6599271388
34	0.6592990194
35	0.6584376429
36	0.6578403752
37	0.6572448606
38	0.6567342948
39	0.6561701241
40	0.655634864
41	0.6550253758
42	0.6542585789
43	0.6535961662
44	0.6531493299
45	0.6527285309
46	0.6520622823
47	0.6514978392
48	0.6509860449
49	0.6504235222
50	0.6499231032
51	0.649405958
52	0.648950608
53	0.6484229452
54	0.6479639504
55	0.6475316663
56	0.6471735079
57	0.6467417349
58	0.6463072468
59	0.6458274691
60	0.645338731
61	0.6449061107
62	0.644374916
63	0.6439497823
64	0.6436292097
65	0.6432146434
66	0.6427525367
67	0.6421979928
68	0.641829701
69	0.6414016313
70	0.6410113028
71	0.6407071151
72	0.6402986797
73	0.6397466759
74	0.6394526798
75	0.6390120998
76	0.6384987303
77	0.6381318273
78	0.6377914618
79	0.6375173033
80	0.6370728899
81	0.6367734243
82	0.6363923171
83	0.6361360601
84	0.635762244
85	0.6353844869
86	0.6348991642887	0.6346495518888	0.6341567505889	0.6338676435990	0.6335511741991	0.6333230063992	0.6330066246993	0.6326767014994	0.6323919616995	0.6321116802996	0.6316872506997	0.6312677242998	0.6309532999999	0.6306173073
47909
