iter	Passed	Remaining
0	73	7253
1	137	6749
2	200	6484
3	263	6323
4	327	6226
5	386	6054
6	437	5817
7	484	5573
8	530	5360
9	575	5182
10	621	5028
11	668	4899
12	714	4778
13	761	4677
14	803	4552
15	849	4461
16	905	4419
17	953	4345
18	1002	4271
19	1107	4428
20	1172	4412
21	1304	4626
22	1361	4559
23	1405	4450
24	1451	4354
25	1494	4252
26	1536	4154
27	1590	4090
28	1661	4068
29	1706	3981
30	1748	3892
31	1789	3803
32	1849	3755
33	1903	3694
34	1951	3624
35	1997	3551
36	2042	3476
37	2090	3410
38	2131	3334
39	2174	3261
40	2217	3190
41	2259	3119
42	2302	3051
43	2345	2984
44	2389	2920
45	2432	2855
46	2482	2799
47	2533	2744
48	2577	2682
49	2619	2619
50	2661	2556
51	2700	2492
52	2742	2431
53	2787	2374
54	2832	2317
55	2875	2258
56	2917	2200
57	2959	2143
58	3005	2088
59	3046	2031
60	3095	1979
61	3137	1923
62	3190	1873
63	3233	1818
64	3274	1763
65	3316	1708
66	3361	1655
67	3403	1601
68	3445	1548
69	3498	1499
70	3547	1448
71	3589	1396
72	3633	1343
73	3676	1291
74	3719	1239
75	3762	1188
76	3804	1136
77	3847	1085
78	3890	1034
79	3932	983
80	3974	932
81	4016	881
82	4060	831
83	4110	783
84	4152	732
85	4195	682
86	4235	632
87	4277	583
88	4320	533
89	4367	485
90	4408	436
91	4451	387
92	4497	338
93	4550	290
94	4592	241
95	4634	193
96	4676	144
97	4720	96
98	4763	48
99	4804	0
