iter	Logloss
0	0.6690551064
1	0.6597106048
2	0.6495809484
3	0.6405905722
4	0.6372422893
5	0.6345957769
6	0.6301171084
7	0.6273381548
8	0.6240877969
9	0.620259685
10	0.6157779226
11	0.6111631728
12	0.6073539549
13	0.6030372792
14	0.6008018291
15	0.5981548138
16	0.5962124637
17	0.5938155946
18	0.5906941808
19	0.5863873125
20	0.5846690489
21	0.581889255
22	0.5756837981
23	0.5742877962
24	0.5728693638
25	0.5710626156
26	0.5688992655
27	0.5679614123
28	0.566253714
29	0.5647524191
30	0.5633050642
31	0.5621572323
32	0.5605187088
33	0.5586411221
34	0.5561438049
35	0.5546963794
36	0.5505948789
37	0.5484307484
38	0.5460442428
39	0.5447963299
40	0.5434819778
41	0.5415095359
42	0.5400976933
43	0.5345627136
44	0.5323726007
45	0.5315965546
46	0.529720181
47	0.5268785997
48	0.5260640344
49	0.5233619358
50	0.5218631744
51	0.5214192732
52	0.5175692356
53	0.5164061737
54	0.515798033
55	0.5152444602
56	0.5139011396
57	0.5111597961
58	0.5101844859
59	0.5068293296
60	0.5054552281
61	0.5037777609
62	0.5025821785
63	0.5001611275
64	0.4997541918
65	0.4979324741
66	0.4969330215
67	0.4953424289
68	0.4946368658
69	0.4934703401
70	0.4925115158
71	0.4920804185
72	0.4910588691
73	0.4899396963
74	0.4892344698
75	0.4887982677
76	0.4878805902
77	0.4860007226
78	0.4855591274
79	0.4830900437
80	0.4820350274
81	0.4811150825
82	0.4780311619
83	0.4770669958
84	0.4755703782
85	0.4743590567
86	0.4736323322
87	0.4727530611
88	0.4720130663
89	0.4715051193
90	0.4703434982
91	0.4688985662
92	0.4680746393
93	0.4673549418
94	0.4666889409
95	0.4658913991
96	0.4641912245
97	0.4637385737
98	0.4628201184
99	0.4620903802
