iter	Passed	Remaining
0	61	6046
1	66	3246
2	70	2294
3	76	1841
4	82	1572
5	88	1386
6	93	1247
7	100	1151
8	106	1074
9	111	1006
10	118	957
11	124	909
12	130	870
13	135	829
14	142	804
15	147	775
16	153	748
17	158	722
18	164	700
19	169	677
20	176	662
21	182	645
22	187	627
23	192	610
24	200	600
25	206	587
26	211	572
27	218	562
28	223	547
29	230	538
30	235	524
31	242	516
32	248	504
33	254	494
34	264	491
35	273	486
36	282	480
37	288	470
38	295	462
39	301	451
40	306	440
41	314	433
42	321	426
43	327	417
44	333	407
45	340	399
46	345	389
47	350	379
48	359	374
49	369	369
50	376	361
51	387	357
52	394	349
53	399	340
54	409	335
55	415	326
56	424	319
57	430	312
58	439	305
59	444	296
60	450	287
61	459	281
62	467	274
63	476	267
64	487	262
65	494	254
66	501	247
67	507	238
68	513	230
69	521	223
70	528	215
71	540	210
72	549	203
73	555	195
74	561	187
75	568	179
76	575	171
77	584	164
78	597	158
79	606	151
80	613	143
81	619	136
82	628	128
83	637	121
84	643	113
85	651	106
86	658	98
87	668	91
88	675	83
89	686	76
90	692	68
91	699	60
92	704	53
93	709	45
94	716	37
95	723	30
96	729	22
97	736	15
98	741	7
99	748	0
